"","Treatment_pair","q","TD_gamma","TD_alpha","TD_beta","M_homog","local_similarity","region_similarity","individual_id","Species","treatmentWspecies","beta"
"111","Heat_Cold",1,1.96488426546806,1.42211550708154,1.38166292096792,0.723765532695526,0.918573294872433,0.918573294872433,"S24","CR","Heat_Cold_CR",0.081426705127567
"112","Cold_Diet",1,1.99676271290162,1.63264707920793,1.22302164278537,0.817647018676263,0.949292254221069,0.949292254221069,"S24","CR","Cold_Diet_CR",0.0507077457789306
"113","Day_Acc1",1,1.99805068325078,1.50217324532411,1.33010669007067,0.751819389726448,0.928488268244565,0.928488268244565,"S28","CR","Day_Acc_CR",0.0715117317554351
"114","Acc_Heat",1,1.98907333628565,1.62802510100602,1.22177068096587,0.818484201314643,0.949786416286185,0.949786416286185,"S28","CR","Acc_Heat_CR",0.0502135837138147
"115","Heat_Cold",1,1.9816538283246,1.66255280476271,1.19193436903042,0.838972367927816,0.955984404665565,0.955984404665565,"S28","CR","Heat_Cold_CR",0.0440155953344347
"116","Cold_Diet",1,1.99782527695117,1.49350029465164,1.33767986796224,0.747563018589309,0.926721591812265,0.926721591812265,"S28","CR","Cold_Diet_CR",0.0732784081877347
"117","Day_Acc1",1,1.98249518221272,1.44715067620773,1.36993003894236,0.729964283995145,0.921092772396077,0.921092772396077,"S31","CR","Day_Acc_CR",0.0789072276039233
"118","Acc_Heat",1,1.98829649991499,1.55719846197035,1.27684206507574,0.783182217560073,0.938733800380604,0.938733800380604,"S31","CR","Acc_Heat_CR",0.0612661996193957
"119","Heat_Cold",1,1.99923034533971,1.48888917262853,1.34276639396215,0.744731179225643,0.92611352777242,0.92611352777242,"S31","CR","Heat_Cold_CR",0.0738864722275799
"120","Cold_Diet",1,1.99313952774924,1.59587686749047,1.24893064643732,0.800684972262135,0.944274607334857,0.944274607334857,"S31","CR","Cold_Diet_CR",0.0557253926651434
"121","Day_Acc1",1,1.89551747463974,1.45600122072008,1.30186530592488,0.768128619334833,0.933868352521616,0.933868352521616,"S35","CR","Day_Acc_CR",0.0661316474783842
"122","Acc_Heat",1,1.99809313176036,1.49315954734597,1.33816452187704,0.747292267618411,0.926974158885903,0.926974158885903,"S35","CR","Acc_Heat_CR",0.0730258411140975
"123","Heat_Cold",1,1.99770569588908,1.5451384708063,1.29289751930558,0.773456507625683,0.935297997184006,0.935297997184006,"S35","CR","Heat_Cold_CR",0.0647020028159936
"124","Cold_Diet",1,1.86593467565007,1.54928237197113,1.20438643684822,0.830298290818447,0.953159550915557,0.953159550915557,"S35","CR","Cold_Diet_CR",0.0468404490844431
"125","Day_Acc1",1,1.83475904608362,1.40818150084746,1.30292795707047,0.767502143593893,0.93366380926081,0.93366380926081,"S36","CR","Day_Acc_CR",0.0663361907391896
"126","Acc_Heat",1,1.95660738785867,1.56178928079448,1.25279857655531,0.798212912046561,0.943499420551146,0.943499420551146,"S36","CR","Acc_Heat_CR",0.056500579448854
"127","Heat_Cold",1,1.99835459265651,1.50411208660256,1.32859419883416,0.752675272011195,0.928438161210603,0.928438161210603,"S36","CR","Heat_Cold_CR",0.0715618387893969
"128","Cold_Diet",1,1.97317222644294,1.46859605572549,1.34357723401905,0.744281738838859,0.925613622114896,0.925613622114896,"S36","CR","Cold_Diet_CR",0.0743863778851044
"129","Day_Acc1",1,1.94719589002213,1.44244298783099,1.3499291871148,0.740779597585631,0.924779810201553,0.924779810201553,"S5","CR","Day_Acc_CR",0.0752201897984474
"130","Acc_Heat",1,1.99194011318242,1.58315656243309,1.25820791224911,0.794781204493021,0.942419319305557,0.942419319305557,"S5","CR","Acc_Heat_CR",0.0575806806944432
"131","Heat_Cold",1,1.99881847898039,1.57377612062861,1.27007803256158,0.787353197490652,0.940065355299991,0.940065355299991,"S5","CR","Heat_Cold_CR",0.0599346447000094
"132","Cold_Diet",1,1.9449223592778,1.44670192575822,1.3443836111979,0.743835309855464,0.92581177991215,0.92581177991215,"S5","CR","Cold_Diet_CR",0.0741882200878499
"133","Day_Acc1",1,1.77914775620333,1.39678512071185,1.2737447799391,0.785086632541732,0.939342648519348,0.939342648519348,"S6","CR","Day_Acc_CR",0.0606573514806523
"134","Acc_Heat",1,1.96596372384745,1.67234347809085,1.17557412672892,0.850648187352113,0.959258248442252,0.959258248442252,"S6","CR","Acc_Heat_CR",0.040741751557748
"135","Heat_Cold",1,1.98430005437566,1.60534336081858,1.23605958874982,0.809022484920349,0.946871542637891,0.946871542637891,"S6","CR","Heat_Cold_CR",0.0531284573621088
"136","Cold_Diet",1,1.97855418232469,1.49975972298788,1.31924744477264,0.758007911224219,0.930543353097238,0.930543353097238,"S6","CR","Cold_Diet_CR",0.0694566469027619
"137","Day_Acc1",1,1.96654664330305,1.5981447903192,1.23051844564739,0.812665591106917,0.947997891522547,0.947997891522547,"S9","CR","Day_Acc_CR",0.0520021084774531
"138","Acc_Heat",1,1.99850483266801,1.63823691578017,1.21991197574514,0.819731275602228,0.950168087213888,0.950168087213888,"S9","CR","Acc_Heat_CR",0.0498319127861119
"139","Heat_Cold",1,1.99486786272807,1.54136401204275,1.2942224206236,0.77266471671706,0.935040024000371,0.935040024000371,"S9","CR","Heat_Cold_CR",0.0649599759996288
"140","Cold_Diet",1,1.9658004940515,1.53325373291466,1.28211035906925,0.77996405919842,0.937701571274795,0.937701571274795,"S9","CR","Cold_Diet_CR",0.062298428725205
